               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094877,            0.024209,                   0,             0.35366,             0.46248,             0.26183,            0.056573,             0.07005,            0.018123,                   0,           0.0032982,           0.0032982,            0.070316
                   1,            0.066589,            0.021394,                   0,             0.69398,             0.67027,             0.64709,             0.24143,            0.056841,            0.011068,                   0,           0.0065878,           0.0065878,            0.040272
                   2,             0.05997,            0.018823,                   0,             0.79926,             0.66462,             0.67957,             0.22036,            0.050868,            0.011251,                   0,           0.0098334,           0.0098334,            0.010184
                   3,            0.054791,            0.017322,                   0,             0.87091,             0.72894,             0.78312,             0.31476,            0.045395,            0.012003,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.048808,             0.01639,                   0,             0.92925,             0.70401,             0.79832,             0.34552,            0.043383,            0.010502,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.045126,            0.016168,                   0,             0.87577,             0.74493,             0.80386,             0.34587,            0.040994,            0.011281,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.043272,            0.015147,                   0,             0.91232,             0.75191,             0.82095,             0.30453,            0.043976,           0.0097965,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.042999,            0.015678,                   0,             0.89881,             0.77795,             0.82518,             0.39428,            0.039279,            0.010175,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.043038,            0.014983,                   0,             0.89364,             0.81164,             0.84347,             0.40758,            0.037648,           0.0093693,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.041143,            0.014854,                   0,             0.92761,              0.7856,             0.83769,             0.38179,            0.041088,           0.0091699,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.040427,            0.014854,                   0,             0.91211,              0.7946,             0.84963,             0.45382,             0.03543,           0.0093186,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.039562,            0.014852,                   0,             0.91174,             0.80683,             0.85288,             0.44209,             0.03488,           0.0093232,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.038826,            0.014956,                   0,             0.92753,             0.78402,              0.8339,             0.42616,            0.036508,           0.0094847,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.039603,            0.014233,                   0,             0.92962,             0.74847,             0.83084,             0.32918,            0.042252,            0.009914,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.038313,            0.014454,                   0,             0.90554,             0.79479,             0.84888,             0.44435,            0.034867,            0.009843,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.037433,            0.014585,                   0,             0.91902,             0.80398,             0.85478,             0.41026,            0.037769,           0.0092012,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.037812,            0.014316,                   0,             0.92548,             0.82389,             0.86886,             0.45257,            0.034787,           0.0090657,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.036879,            0.013747,                   0,             0.93559,             0.80083,             0.85929,             0.44605,            0.035251,           0.0091855,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.036817,            0.014155,                   0,             0.91156,             0.82076,             0.86859,             0.46331,            0.033696,           0.0092404,                   0,            0.008878,            0.008878,            0.008878
                  19,             0.03634,             0.01358,                   0,             0.92905,             0.80551,             0.86607,             0.45753,            0.034089,           0.0090466,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.035839,            0.014088,                   0,             0.93436,             0.80704,             0.87075,             0.46481,            0.033665,           0.0091014,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.036176,             0.01355,                   0,             0.95102,             0.77308,             0.85926,             0.43929,            0.035844,           0.0095839,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.035762,            0.013948,                   0,             0.92007,             0.82848,             0.87784,              0.4687,            0.033652,           0.0087601,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.035048,            0.013575,                   0,             0.91045,             0.82695,             0.87144,             0.44416,            0.037853,           0.0085895,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.034436,            0.013521,                   0,             0.94147,              0.8392,             0.88167,             0.48166,            0.034532,           0.0082799,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.033866,            0.013244,                   0,             0.95453,             0.80398,             0.86826,             0.45478,             0.03663,           0.0087065,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.034264,            0.013275,                   0,             0.94627,             0.83602,             0.88085,              0.4625,            0.036473,           0.0083715,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.033468,            0.013425,                   0,             0.92953,             0.82821,             0.87756,             0.44502,            0.035487,           0.0085953,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.033536,            0.013303,                   0,             0.93612,             0.80792,              0.8736,             0.51417,            0.031026,           0.0084322,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.033178,            0.012738,                   0,             0.96412,             0.82542,              0.8831,             0.52402,             0.03057,           0.0083234,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.032774,            0.012651,                   0,              0.9277,             0.82525,              0.8689,             0.52354,            0.031243,           0.0082851,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.032513,            0.012963,                   0,             0.95948,             0.79778,             0.87695,             0.49954,            0.032212,           0.0082575,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.032268,            0.012991,                   0,             0.94911,             0.82833,             0.88607,             0.52925,            0.030476,           0.0079589,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.031693,            0.012742,                   0,             0.95288,             0.83609,             0.89591,             0.52285,            0.030864,           0.0079535,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.031217,            0.012144,                   0,             0.95317,              0.8438,             0.88874,             0.52286,            0.030768,            0.007947,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.032117,            0.012581,                   0,              0.9498,             0.84074,             0.88916,             0.53913,            0.029881,           0.0079793,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.031937,               0.012,                   0,             0.95128,             0.83726,             0.89018,             0.52881,            0.030855,           0.0078219,                   0,             0.00769,             0.00769,             0.00769
                  37,             0.03125,            0.012327,                   0,             0.95051,             0.85297,             0.89013,             0.53035,             0.03128,            0.007782,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.031551,            0.012344,                   0,             0.94404,             0.85247,             0.89154,             0.55091,            0.029424,           0.0080534,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.030443,            0.012109,                   0,             0.94487,             0.84074,             0.88652,             0.53922,            0.031175,           0.0077667,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.030779,             0.01215,                   0,              0.9375,             0.84989,             0.88864,             0.54682,            0.029536,           0.0077466,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.030044,             0.01184,                   0,             0.92151,             0.84507,              0.8872,             0.53276,            0.031077,           0.0079682,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.030118,            0.011782,                   0,             0.95422,             0.86186,             0.90226,             0.55849,            0.029583,           0.0075062,                   0,            0.007294,            0.007294,            0.007294
